peptide,rpK,file_id
gi|10047100|ref|NP_057387.1|_WW_domain-binding_protein_5_[Homo_sapiens]_fragment_0,0.06812235046630001,healthy_serum_13
gi|100814339|ref|NP_065930.2|_coiled-coil_domain-containing_protein_146_[Homo_sapiens]_fragment_22,0.204367051399,healthy_serum_13
gi|100814339|ref|NP_065930.2|_coiled-coil_domain-containing_protein_146_[Homo_sapiens]_fragment_24,12.602634836300002,healthy_serum_13
gi|100913209|ref|NP_001035757.1|_heat_shock_factor_protein_4_isoform_b_[Homo_sapiens]_fragment_15,0.06812235046630001,healthy_serum_13
gi|100913218|ref|NP_443164.2|_porimin_precursor_[Homo_sapiens]_fragment_2,0.408734102798,healthy_serum_13
gi|100913218|ref|NP_443164.2|_porimin_precursor_[Homo_sapiens]_fragment_4,0.136244700933,healthy_serum_13
gi|10092665|ref|NP_062547.1|_sushi_domain-containing_protein_2_precursor_[Homo_sapiens]_fragment_10,0.5449788037309999,healthy_serum_13
gi|10092677|ref|NP_064711.1|_pyridoxal_phosphate_phosphatase_[Homo_sapiens]_fragment_2,0.06812235046630001,healthy_serum_13
gi|10140845|ref|NP_065387.1|_ephrin_type-A_receptor_8_isoform_1_precursor_[Homo_sapiens]_fragment_36,0.06812235046630001,healthy_serum_13
gi|10190682|ref|NP_065700.1|_chromobox_protein_homolog_8_[Homo_sapiens]_fragment_5,0.340611752332,healthy_serum_13
gi|10190682|ref|NP_065700.1|_chromobox_protein_homolog_8_[Homo_sapiens]_fragment_6,0.47685645326399995,healthy_serum_13
gi|10190682|ref|NP_065700.1|_chromobox_protein_homolog_8_[Homo_sapiens]_fragment_9,0.06812235046630001,healthy_serum_13
gi|10190722|ref|NP_065729.1|_leucine-rich_repeat_and_transmembrane_domain-containing_protein_1_isoform_1_precursor_[Homo_sapiens]_fragment_10,0.27248940186500004,healthy_serum_13
gi|10190742|ref|NP_065954.1|_ubiquitin_carboxyl-terminal_hydrolase_29_[Homo_sapiens]_fragment_26,0.06812235046630001,healthy_serum_13
gi|103471997|ref|NP_056240.2|_DNA-directed_RNA_polymerase_I_subunit_RPA1_[Homo_sapiens]_fragment_19,0.06812235046630001,healthy_serum_13
gi|103472003|ref|NP_005929.2|_forkhead_box_protein_O4_isoform_1_[Homo_sapiens]_fragment_1,0.408734102798,healthy_serum_13
gi|103472136|ref|NP_055525.3|_G-protein_coupled_receptor-associated_sorting_protein_1_[Homo_sapiens]_fragment_1,0.204367051399,healthy_serum_13
gi|104487002|ref|NP_001035802.1|_receptor-type_tyrosine-protein_phosphatase_delta_isoform_5_precursor_[Homo_sapiens]_fragment_50,0.204367051399,healthy_serum_13
gi|105990541|ref|NP_000341.2|_retinal-specific_ATP-binding_cassette_transporter_[Homo_sapiens]_fragment_40,0.06812235046630001,healthy_serum_13
gi|105990541|ref|NP_000341.2|_retinal-specific_ATP-binding_cassette_transporter_[Homo_sapiens]_fragment_59,7.35721385036,healthy_serum_13
"gi|106049292|ref|NP_071504.2|_pyruvate_carboxylase,_mitochondrial_precursor_[Homo_sapiens]_fragment_15",0.06812235046630001,healthy_serum_13
gi|106507261|ref|NP_005387.2|_pancreatic_lipase-related_protein_2_precursor_[Homo_sapiens]_fragment_5,0.136244700933,healthy_serum_13
gi|106879204|ref|NP_848611.2|_exocyst_complex_component_3-like_protein_[Homo_sapiens]_fragment_15,1.49869171026,healthy_serum_13
gi|106879206|ref|NP_078920.2|_bifunctional_lysine-specific_demethylase_and_histidyl-hydroxylase_NO66_[Homo_sapiens]_fragment_10,3.74672927565,healthy_serum_13
gi|106879210|ref|NP_003019.2|_SH2_domain-containing_adapter_protein_B_[Homo_sapiens]_fragment_3,1.7030587616600001,healthy_serum_13
gi|10835010|ref|NP_001322.1|_catenin_delta-1_isoform_1B_[Homo_sapiens]_fragment_29,0.136244700933,healthy_serum_13
gi|10835069|ref|NP_004313.1|_bcl2_antagonist_of_cell_death_[Homo_sapiens]_fragment_4,0.06812235046630001,healthy_serum_13
gi|10835242|ref|NP_006249.1|_cGMP-dependent_protein_kinase_1_isoform_2_[Homo_sapiens]_fragment_2,0.5449788037309999,healthy_serum_13
gi|10835267|ref|NP_066569.1|_membrane_transport_protein_XK_precursor_[Homo_sapiens]_fragment_17,0.681223504663,healthy_serum_13
gi|10863899|ref|NP_004747.1|_numb-like_protein_isoform_a_[Homo_sapiens]_fragment_11,1.90742581306,healthy_serum_13
gi|10863935|ref|NP_066959.1|_reticulon-1_isoform_A_[Homo_sapiens]_fragment_1,0.136244700933,healthy_serum_13
gi|10863935|ref|NP_066959.1|_reticulon-1_isoform_A_[Homo_sapiens]_fragment_21,0.06812235046630001,healthy_serum_13
gi|10864017|ref|NP_067027.1|_enolase-phosphatase_E1_isoform_1_[Homo_sapiens]_fragment_2,1.43056935979,healthy_serum_13
gi|10864043|ref|NP_067055.1|_probable_proline_dehydrogenase_2_[Homo_sapiens]_fragment_11,0.5449788037309999,healthy_serum_13
gi|10864063|ref|NP_067078.1|_E3_ubiquitin-protein_ligase_pellino_homolog_2_[Homo_sapiens]_fragment_8,0.06812235046630001,healthy_serum_13
"gi|108773801|ref|NP_000161.2|_glycine_dehydrogenase_(decarboxylating),_mitochondrial_precursor_[Homo_sapiens]_fragment_37",0.47685645326399995,healthy_serum_13
gi|108796653|ref|NP_001035830.1|_phosphoglycolate_phosphatase_[Homo_sapiens]_fragment_0,0.5449788037309999,healthy_serum_13
gi|10880983|ref|NP_065857.1|_gephyrin_isoform_1_[Homo_sapiens]_fragment_18,0.27248940186500004,healthy_serum_13
gi|108860697|ref|NP_055445.2|_zinc_finger_protein_592_[Homo_sapiens]_fragment_45,0.136244700933,healthy_serum_13
"gi|109150427|ref|NP_061909.2|_3-hydroxymethyl-3-methylglutaryl-CoA_lyase,_cytoplasmic_isoform_a_[Homo_sapiens]_fragment_8",0.136244700933,healthy_serum_13
gi|109240536|ref|NP_653223.2|_DC-STAMP_domain-containing_protein_2_[Homo_sapiens]_fragment_18,0.204367051399,healthy_serum_13
gi|109288006|ref|NP_853630.2|_keratin-associated_protein_13-1_[Homo_sapiens]_fragment_2,0.204367051399,healthy_serum_13
gi|109452595|ref|NP_001035893.1|_zinc_finger_protein_205_[Homo_sapiens]_fragment_16,0.204367051399,healthy_serum_13
gi|109633031|ref|NP_937983.2|_telomerase_reverse_transcriptase_isoform_1_[Homo_sapiens]_fragment_37,0.27248940186500004,healthy_serum_13
gi|109638745|ref|NP_001035919.1|_transforming_growth_factor_beta-1-induced_transcript_1_protein_isoform_1_[Homo_sapiens]_fragment_5,0.47685645326399995,healthy_serum_13
gi|109638745|ref|NP_001035919.1|_transforming_growth_factor_beta-1-induced_transcript_1_protein_isoform_1_[Homo_sapiens]_fragment_9,0.340611752332,healthy_serum_13
gi|109715825|ref|NP_689668.3|_zinc_finger_and_SCAN_domain-containing_protein_29_[Homo_sapiens]_fragment_25,0.817468205596,healthy_serum_13
gi|109715825|ref|NP_689668.3|_zinc_finger_and_SCAN_domain-containing_protein_29_[Homo_sapiens]_fragment_6,0.340611752332,healthy_serum_13
gi|109715858|ref|NP_055131.2|_calcium-regulated_heat_stable_protein_1_[Homo_sapiens]_fragment_4,0.953712906529,healthy_serum_13
gi|109948307|ref|NP_001035948.1|_nuclear_protein_1_isoform_a_[Homo_sapiens]_fragment_2,0.27248940186500004,healthy_serum_13
gi|110224458|ref|NP_001035962.1|_solute_carrier_family_12_member_6_isoform_e_[Homo_sapiens]_fragment_22,13.283858340899998,healthy_serum_13
gi|110224476|ref|NP_001035930.1|_prosaposin_isoform_b_preproprotein_[Homo_sapiens]_fragment_7,18.6655240278,healthy_serum_13
"gi|110227613|ref|NP_114152.3|_arf-GAP_with_GTPase,_ANK_repeat_and_PH_domain-containing_protein_3_isoform_a_[Homo_sapiens]_fragment_14",0.136244700933,healthy_serum_13
"gi|110227613|ref|NP_114152.3|_arf-GAP_with_GTPase,_ANK_repeat_and_PH_domain-containing_protein_3_isoform_a_[Homo_sapiens]_fragment_26",0.408734102798,healthy_serum_13
gi|110227866|ref|NP_079430.3|_SUN_domain-containing_protein_1_isoform_b_[Homo_sapiens]_fragment_11,0.613101154197,healthy_serum_13
